product,price,category
Funko POP! Movies The Goonies - Chunk,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Movies The Goonies - Mikey with Map,"R$ 229,17","
                    Brinquedo
                "
Funko POP! WWE Chyna,"R$ 229,17","
                    Brinquedo
                "
Funko POP! TV Umbrella Academy - Baby Pogo,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Rocks Weezer - Rivers Cuomo,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Rocks Slipknot-Craig Jones  Toy Multicolour,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Movies Jaws - Chief Brody,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Television Stranger Things - Dustin (at Camp),"R$ 229,17","
                    Brinquedo
                "
Funko POP! Rocks Slayer - Jeff Hanneman,"R$ 229,17","
                    Brinquedo
                "
Funko POP! Rocks Kid 'N Play - Kid,"R$ 229,17","
                    Brinquedo
                "
Funko POP! TV The Office - Kelly Kapoor,"R$ 248,81","
                    Brinquedo
                "
Funko POP! Movies Trolls World Tour - Hip Hop Guy Diamond,"R$ 229,17","
                    Brinquedo
                "
Figura de Ação Batman Camuflagem - Spin Master,"R$ 240,38","
                    Brinquedo
                "
Figura de Ação Heroes Transformers Rescue Bots Energize Bumblebee - Hasbro,"R$ 240,38","
                    Brinquedo
                "
Figura de Ação Heroes Transformers  Rescue Bots Blades the Copter-Bot - Hasbro,"R$ 240,38","
                    Brinquedo
                "
product,price,category
Serum Hidratante Facial  Diário com Ácido Hialurônico Vichy Mineral 89 - 10ml,"R$ 200,28","
                    Cuidado Pessoal
                "
"Creme Limpeza & Hidratante Facial  Ceramida-3, Niacinamida & Glicerina La Roche-Posay Toleriane - 200ml","R$ 203,82","
                    Cuidado Pessoal
                "
Loção Hidratante para Mãos Secas com Manteiga de Carité e Glicerina La Roche-Posay Cicaplast - 50ml,"R$ 202,88","
                    Cuidado Pessoal
                "
Espuma Facial Diaria para Alivio da Vermelhidão Cetaphil - 237ml,"R$ 161,42","
                    Cuidado Pessoal
                "
Creme Hidratante Noturno para Alivio da Vermelhidão Cetaphil - 50g,"R$ 170,33","
                    Cuidado Pessoal
                "
Protetor Solar Hidratante SPF 30 Reduz Oleosidade Cetaphil - 118ml,"R$ 191,31","
                    Cuidado Pessoal
                "
Máscara Facial com Argila Bentonita para Cravos e Poros para Pele Sensivel Cetaphil - 88ml,"R$ 180,64","
                    Cuidado Pessoal
                "
Loção Hidratante Facial Diaria sem Oleo com Acido Hialurônico Cetaphil - 88ml,"R$ 182,34","
                    Cuidado Pessoal
                "
Creme Hidratante Antioxidante Area dos Olhos com Acido Hialurônico Vitamina E & B5 Cetaphil - 15ml,"R$ 181,41","
                    Cuidado Pessoal
                "
Creme Hidratante para Rosto para Pele Seca a Normal com Acido Hialurônico Cetaphil - 48g,"R$ 232,14","
                    Cuidado Pessoal
                "
